产	（ij;dp,ij;li,ij;wp）
亨	（hg;dl,hg;lk,hg;wl）
亩	（mu;dt,mu;wt）
亪	（ye;yy）
享	（xd;dz,xd;wz,xd;zk）
京	（jy;dx,jy;wx）
亭	（ty;db,ty;dd,ty;wd）
亮	（ld;dj,ld;jb,ld;wj）
亯	（xd;dr,xd;wo）
亰	（jy;dx,jy;wx）
亱	（ye;dd,ye;wd）
亲	（qn;lm,qy;lm）
亳	（bo;dq,bo;dt,bo;wq,bo;wt）
亴	（yb;dj,yb;wj）
亵	（xx;dy,xx;wy,xx;yv）
亶	（dj;dd,dj;wd）
亷	（lm;ij,lm;lj）
亸	（do;dx,do;xd）
亹	（wz;dq,wz;wq）
人	（rf;pd）
亻	（pp;rf）
亼	（ji;ra,ji;rh）
亽	（ji;rd）
亾	（wg;ra,wg;rv）
亿	（yi;ry）
什	（uf;ru,ui;ru）
仁	（rf;re）
仂	（le;rl）
仃	（dy;rd,ty;rd）
仄	（ze;ir）
仅	（jn;ry）
仆	（pu;rb）
仇	（ib;rj,qq;rj）
仈	（ba;rb）
仉	（vh;rj）
今	（jn;ra,jn;rv）
介	（jx;ra,jx;rp,jx;ru）
仌	（by;rr）
仍	（rg;rn）
从	（cs;rr）
仏	（fo;rs）
仐	（jn;ru）
仑	（lp;rb）
仒	（oo;rd）
仓	（ch;re）
仔	（zi;rz,zl;rz）
仕	（ui;ru）
他	（ta;ry）
仗	（vh;rv）
付	（fu;rc）
仙	（xm;ru）
仚	（xm;ru）
仛	（to;rq,to;rt）
仜	（hs;rg）
仝	（ts;rg）
仞	（rf;rr）
仟	（qm;rq）
仠	（gj;rg,hj;rg）
仡	（ge;rq,yi;rq）
仢	（bo;ru）
代	（dl;ry）
令	（ly;rs）
以	（yi;rd,yi;ry）
仦	（ik;rx）
仧	（ih;ru,ih;ur）
仨	（sa;rs）
仩	（ih;ru）
仪	（yi;ry）
仫	（mu;rm）
们	（mf;rm）
仭	（rf;rr）
仮	（fj;rf）
仯	（ik;ru,mc;ru）
仰	（yh;re,yh;ry）
仱	（qm;rj）
仲	（vs;rv）
仳	（pi;rb）
仴	（wo;ro,wo;ry）
仵	（wu;rw）
件	（jm;rn）
价	（jw;rj,jx;rj）
仸	（fo;ry,yk;ry）
仹	（fg;rf）
仺	（ch;ra,ch;rh）
任	（rf;rr）
仼	（wh;rw）
份	（ff;rf）
仾	（di;rh）
仿	（fh;rf）
伀	（vs;rg）
企	（qi;rv）
伂	（pz;rf,pz;rj）
伃	（yu;ry,yv;ry）
伄	（dc;rd）
伅	（dp;rt）
伆	（wf;rw）
伇	（yi;ru）
伈	（xn;rx）
伉	（kh;rk）
伊	（yi;ry）
伋	（ji;rj）
伌	（ai;re）
伍	（wu;rw）
伎	（ji;rv,qi;rv）
伏	（fu;rq）
伐	（fa;rg）
休	（xq;rm）
伒	（jn;rj）
伓	（pi;rb）
伔	（dj;rr）
伕	（fu;rf）
伖	（th;ry）
众	（vs;rc）
优	（yb;ry）
伙	（ho;rh）
会	（hv;ry,ky;ry）
伛	（yu;rq,yv;rq）
伜	（cv;ru,cv;rz）
伝	（yp;ry）
伞	（sj;ru）
伟	（wz;rw）
传	（ir;rv,vr;rv）
伡	（ie;ri）
伢	（ya;ry）
伣	（qm;rj,xm;rj）
伤	（uh;rl）
伥	（ih;ri）
伦	（lp;rl）
伧	（ch;rc,if;rc）
伨	（xp;ry）
伩	（xn;rw）
伪	（wz;rw）
伫	（vu;ra,vu;rh）
伬	（ii;ri）
伭	（xm;rx,xr;rx）
伮	（nu;rn）
伯	（ba;rb,bl;rb,bo;rb）
估	（gu;rg）
伱	（ni;rn,ni;rx）
伲	（ni;rn）
伳	（xx;ru）
伴	（bj;rb）
伵	（xu;rs,xv;rs）
伶	（ly;rl）
伷	（vb;ry）
伸	（uf;ru）
伹	（qu;rq,qv;rq）
伺	（ci;rs,si;rs）
伻	（pg;rp）
似	（si;ry,ui;ry）
伽	（ga;rj,jw;rj,qx;rj）
伾	（pi;rp）
伿	（vi;rv）
佀	（si;rg）
佁	（ii;rt,yi;rt）
佂	（vg;rv）
佃	（dm;rt,tm;rt）
佄	（gj;rg,hj;rg）
佅	（ml;rw）
但	（dj;rd）
佇	（vu;rn）
佈	（bu;rb）
佉	（qu;rq,qv;rq）
佊	（bi;rp）
佋	（uk;rv,vk;rv）
佌	（ci;rc）
位	（wz;rl）
低	（di;rd）
住	（vu;rv）
佐	（zo;rz）
佑	（yb;ry）
佒	（yh;ry）
体	（ti;rb）
佔	（vj;rv）
何	（he;rk）
佖	（bi;rb）
佗	（to;rt）
佘	（ue;ru）
